ID,video_id,repetition,label,ankle_angle_min,ankle_angle_max,ankle_angle_mean,ankle_angle_range,knee_angle_min,knee_angle_max,knee_angle_mean,knee_angle_range,hip_flexion_min,hip_flexion_max,hip_flexion_mean,hip_flexion_range,shoulder_flexion_min,shoulder_flexion_max,shoulder_flexion_mean,shoulder_flexion_range,femoral_angle_min,femoral_angle_max,femoral_angle_mean,femoral_angle_range,trunk_tibia_angle_min,trunk_tibia_angle_max,trunk_tibia_angle_mean,trunk_tibia_angle_range,start_frame,end_frame
11,S05SquatSag,1,1,0,99.85966844807368,72.08752069884254,99.85966844807368,0,179.8000230925054,132.66428695755286,179.8000230925054,0,179.94290689864852,135.2975183082336,179.94290689864852,0,173.9268793916452,148.56307879595954,173.9268793916452,,,,,,,,,1,166
12,S05SquatSag,2,1,44.95993416024032,97.13155149743142,68.57389023619653,52.171617337191094,54.30556217825134,179.52675378926375,115.38043215140347,125.22119161101242,41.969845582540906,179.96777807949752,112.43073437146504,137.99793249695662,123.02913087716355,179.34818972490385,147.40971076762352,56.319058847740294,88.05427867203487,162.53869719418176,126.8495167808868,74.48441852,72.80887940757987,109.55679246545003,93.15104877281553,36.747913057870164,170,280
13,S05SquatSag,3,1,42.666630940321625,99.73166886,68.25458237249003,57.06503791572628,61.06325480594249,179.89225692931046,111.36633756628846,118.82900212336797,49.01503237106285,178.945242,110.09538480708778,129.93020965048413,121.60754916252989,174.28897462632045,145.13059228828743,52.68142546379056,84.92905626211007,157.99624613873314,128.75652233177684,73.06718987662308,71.32882433705143,107.7024095913748,91.83844253,36.37358525432337,300,394
14,S06SquatSag,1,2,50.07543201449223,87.35402540117325,64.22089760598737,37.27859338668102,45.213118611154606,178.1727921208022,102.68026308979864,132.9596735096476,36.06827736,179.58266931453866,102.23923700804717,143.51439195580366,169.60066816492824,179.95442236869894,175.84354474060152,10.353754203770706,0.094872785,93.93717706922777,50.2796187,93.84230428414659,74.44837521512538,100.50173220701183,87.62210986020942,26.053356991886446,300,420
15,S06SquatSag,2,2,50.71407377079917,87.72384292086939,69.37248451815564,37.00976915007022,44.38935147948245,179.89085120588126,120.37946884501831,135.5014997263988,36.12926869,179.9209128889495,120.12305767399549,143.79164419963598,166.67574357791818,179.91775428735713,175.35822687609604,13.242010709438944,1.475516985519647,95.03192757034297,41.132227370616825,93.55641058482333,71.63631849953862,98.26368885,85.29526465728154,26.627370346726977,440,583
16,S07SquatSag,1,1,0,168.04411382784653,71.12608389284117,168.04411382784653,0,179.27894279108656,116.6878709572795,179.27894279108656,0,179.79936458294463,86.46228753027997,179.79936458294463,0,178.04945279766966,111.15618147388578,178.04945279766966,72.41505599214285,178.86753973624343,,106.45248374410058,11.992500631211009,173.63114052445127,,161.63863989324025,124,377
17,S07SquatSag,2,1,39.708451214963155,85.64083942,58.99328205537806,45.93238820072275,43.18588028543448,172.01202697576065,94.72811104168517,128.82614669032617,31.218031428293752,179.45411476781598,90.23795286372716,148.23608333952222,81.19995323126763,166.71074143492774,142.49256976528028,85.51078820366011,87.88443983271694,176.17489705603575,141.74807257375463,88.29045722331881,75.51379688294708,111.90120509241287,94.39934336817537,36.38740820946579,445,610
18,S08SquatSag,1,1,140.5331341081051,179.54857534229455,168.6648762894883,39.01544123418947,29.74603390184749,177.68158248831486,155.6582835997129,147.93554858646738,87.96650567305669,176.7508841511048,153.40088244523616,88.78437847804811,0.24830553614161743,76.72267153609376,37.25856706927839,76.47436599995214,0.381548679,103.36252692560765,66.18879725589102,102.98097824625066,30.823233647519277,123.78013725632444,66.29778541173458,92.95690360880516,1,87
19,S08SquatSag,2,1,155.73136885900573,179.93208797575707,171.4525879110465,24.200719116751344,167.9774578,178.79351033515675,173.19598208138416,10.816052553735744,151.3055378749734,170.31992831240763,160.26045646190076,19.01439043743423,23.223929207337434,105.96163896458421,42.04389831464234,82.73770975724678,77.40597171111358,89.84251287498779,84.47836768024167,12.43654116387421,61.12502875985557,73.69530679273574,67.367173,12.570278032880168,272,420
20,S09SquatSag,1,1,13.382164469419152,103.89124879290324,69.33969553587569,90.50908432348409,45.84862992740034,179.8956240754741,106.20237024528684,134.04699414807376,61.051336666009696,179.36641346446814,112.85518649403241,118.31507679845845,20.95121466813891,158.29443145231687,145.15285291541062,137.34321678417797,7.266794146422342,106.75529961713202,46.29931917621382,99.48850547070968,77.75001969643664,127.42056585211391,101.48154537358829,49.67054615567727,1,291
21,S09SquatSag,2,1,46.91672025370047,104.91475227508907,72.34141925153983,57.99803202,48.35237862779202,179.9817987774316,112.8458417142157,131.6294201496396,60.32098191521625,179.32949420875644,120.1122583207464,119.00851229354019,131.68487326446936,164.08344465490458,148.1392284204517,32.39857139043522,9.034245395734047,93.68220425315302,49.364351466184175,84.64795885741897,78.73527327626049,131.4595959415802,101.34356840836762,52.72432266531972,440,667
22,S09SquatSag,3,1,45.66548967444834,105.72526695410225,63.35634663680946,60.059777279653915,46.074662104222526,179.80392331768908,90.18254152705731,133.72926121346654,62.40663589455468,179.66375559468415,105.4480936125948,117.25711970012946,137.84708343410614,156.6311695061171,149.68762671821926,18.78408607201095,9.763882195417352,94.92506994221489,36.62234280811909,85.16118774679754,70.12488331721376,132.75866607289208,104.45151361355727,62.633782755678325,675,823
23,S10SquatSag,1,1,29.675880376328184,80.99511841,40.997999049883404,51.319238029411224,30.424300669395844,178.97390898759838,57.46963800597788,148.54960831820253,52.45762633688409,179.7148302015304,77.9374642,127.2572038646463,149.8024932465084,166.37074530907634,159.2354812806038,16.56825206256795,0.7715171251171569,84.40901058786919,67.53441250453417,83.63749346275203,58.92971746753231,83.99003164536832,68.50715308741044,25.060314177836005,119,344
24,S10SquatSag,2,1,12.804466670297526,84.58864925,48.58309701061638,71.78418257717617,32.955769216860716,179.93894024433567,80.51550529251955,146.98317102747495,53.11626235066714,179.5619390174365,95.99901827,126.44567666676934,143.070548,164.1926246507313,158.0554695137039,21.12207663396029,0.5699260643056903,83.28835522776455,55.503375228377685,82.71842916345886,18.412435998044142,89.54546492610636,72.29017251,71.13302892806222,370,560
25,S12SquatSag,1,1,47.107348874450025,107.42352382168194,79.24119315,60.316174947231914,53.75660200377986,179.53394737267936,128.35433804567577,125.7773453688995,55.03724844624452,179.99081021104078,126.7643858834837,124.95356176479626,3.6318334401479566,179.1200741631523,116.33503304737567,175.48824072300437,0,77.40059062259202,32.66903853793442,77.40059062259202,85.51124700977276,117.46197619011689,95.63766311565374,31.950729180344126,1,160
26,S12SquatSag,2,1,48.60331114388336,113.84273076338435,69.60145955851802,65.23941961950099,54.43847258,179.6083843820763,104.84049654406674,125.1699117983689,53.94246529949793,179.77489890916863,100.69738537601799,125.83243360967069,2.3450124056074055,179.23914578259783,117.1025443948085,176.89413337699042,0,77.50740135,49.633372418313314,77.50740135,86.57000905,114.92908572816786,94.35005538100262,28.35907667787056,190,297
27,S12SquatSag,3,1,46.12303861263959,108.28276723948926,67.87349389,62.15972862684967,53.036595705784855,179.97322244225455,103.01225684401325,126.93662673646969,52.09420016,176.08827014184786,96.98707293338084,123.99406998480376,0.23246776620670478,179.84143174144117,132.31389376626547,179.60896397523447,0.5366834181293996,78.38038438809949,51.00752506964747,77.84370096997009,88.87919009877812,121.36977644841026,96.07602288,32.49058634963214,319,420
28,S13SquatSag,1,2,33.64951350698054,91.43665433,63.04710703933658,57.787140823800655,28.65438883320089,179.7516038717674,108.77085691976798,151.0972150385665,44.11674509666314,178.92106965717198,114.41982183839237,134.80432456050886,147.4523090945011,165.44945260058702,157.39893459723254,17.997143506085933,82.37662699298038,179.74282935201697,130.24846975824897,97.36620235903659,67.67350771586894,89.26137761255697,77.33982024359739,21.587869896688034,66,159
29,S13SquatSag,2,2,31.993635938986735,92.57253497518279,58.341900995836674,60.578899036196056,23.73425562094403,179.68230047470772,93.47088983314245,155.9480448537637,38.716500705833546,178.95672588104185,103.22042077007198,140.2402251752083,140.2655337,161.3388039426733,152.35237607778154,21.073270280147312,81.44329428319348,180,138.08130801079267,98.55670571680652,66.53520816279243,94.62854820189204,78.94159822034753,28.093340039099616,180,255
30,S13SquatSag,3,2,30.43198040013765,91.38701956628292,56.39377110360172,60.95503916614527,22.129621488910644,179.55063649999613,88.45143788896024,157.4210150110855,39.476289619047655,178.8338363519484,98.26165205922926,139.35754673290074,140.6224343944534,162.92544396072728,152.10384048461233,22.303009566273886,84.2946812,179.84804891154332,142.2568803338623,95.55336771068822,70.91249283756144,95.29170630910511,79.25539558244812,24.379213471543665,276,346
31,S15SquatSag,1,2,51.33244545994127,84.05066422597537,64.41930632136747,32.71821877,61.50131362811659,168.36751532013727,102.25182635633436,106.86620169202068,60.99827197,174.7171004255492,103.11591823604712,113.7188285,168.05290204222794,179.84047116419492,174.0870793727647,11.787569121966982,8.374939629,82.81860743111282,37.416747835120916,74.44366780209371,82.72208075125165,97.95696587,90.86409202785414,15.234885121723451,260,460
32,S15SquatSag,2,2,48.47752505852496,85.92422983298856,63.722030677328334,37.44670477,59.29952909362169,169.55613811369184,102.11877931584664,110.25660902007016,62.01624442880866,171.51733408358422,104.57344020510004,109.50108965477556,161.12222134600538,179.97657522090245,174.31802025833068,18.854353874897072,9.034158400266563,84.77944927756167,38.56068789119881,75.74529088,81.27514312121997,97.33221945154395,92.45466031734517,16.05707633032398,480,676
33,S15SquatSag,3,2,47.934944877392624,86.89914218612607,62.59808992772442,38.964197308733446,59.24925004842404,167.97899730296845,99.93746323717389,108.7297472545444,62.62299487477195,175.38662881093992,103.8591390229891,112.76363393616798,162.8171713451536,179.47761338146628,170.99509197240258,16.660442036312674,9.617952615,85.99419230319968,37.87244615913027,76.37623968845635,80.35019337027596,100.90251938645906,93.92167608838342,20.552326016183102,694,864
34,S16SquatSag,1,2,35.47845842711699,88.42236636905068,59.05009686226589,52.94390794193369,39.81153920371291,179.4910801860689,104.09295862502445,139.679541,51.851067466906514,179.57792983195264,109.35694208314263,127.72686236504613,159.77464283780398,173.16582558835646,165.95746069409677,13.391182750552474,0.6673463172952268,83.99535684632525,46.24275495270316,83.32801052903002,71.94501691,103.73907103438034,83.48009278554802,31.79405411938714,70,230
35,S16SquatSag,2,2,36.258473296069546,86.18787470290773,55.71538143530691,49.92940140683819,38.08565072472353,179.87936462201898,94.93634954365073,141.79371389729545,51.77798089558769,179.8864392548881,103.68311104618162,128.1084583593004,156.27184513398973,169.6266607934076,163.50851709613906,13.35481565941788,0.088469327,85.04969919271554,50.76354874770888,84.96122987,72.73036187833539,97.94869091378098,82.14025915409523,25.218329035445592,240,390
36,S16SquatSag,3,2,34.87784324040551,87.36097044,54.81747708449572,52.48312720026229,38.054105025829244,179.4665037881447,89.74260377070539,141.41239876231546,51.76628601,179.48556043204204,98.17546936,127.71927442082743,155.9971583,170.7575209,163.37510571357487,14.760362651912004,0.683282783,85.57768226,54.24831131410384,84.89439948197273,73.33921092296121,102.28435431179123,82.08324207392758,28.94514338883002,420,550
37,S16SquatSag,4,2,35.51253617009957,88.78894221,58.69946528263004,53.27640604152963,38.427433566085426,179.41129331681114,103.70569068388956,140.9838597507257,52.11137193872684,179.50712560147815,111.69005785057857,127.3957536627513,152.80354666307977,166.72629417789744,160.57844641603575,13.922747514817672,0.6676394663832923,85.06409827811846,47.26021065,84.39645881173517,72.74845360070181,103.11540756183204,83.48592680712144,30.366953961130235,560,690
